,model,Train_score,Test_score,Train_test_time,Recall,Precision,F1
decision tree,DecisionTreeClassifier(),0.594,0.591,0.031,0.9985326485693323,0.5472456775231203,0.7070129870129871
kNN,KNeighborsClassifier(),0.547,0.551,4.892,0.09170946441672781,1.0,0.16801075268817206
logistic regression,LogisticRegression(solver='liblinear'),0.584,0.582,0.013,0.987527512839325,0.5423045930701047,0.7001300390117035
RBF SVM,SVC(),0.593,0.59,7.3408,0.9992663242846662,0.5465489566613162,0.7066147859922179
random forest,RandomForestClassifier(),0.594,0.591,0.7753,0.9985326485693323,0.5472456775231203,0.7070129870129871
xgboost,XGBClassifier(),0.594,0.591,1.042,0.9992663242846662,0.547427652733119,0.7073487405868607
lgbm,LGBMClassifier(),0.588,0.587,0.3,1.0,0.5447641886490807,0.7053040103492885
Dummy,DummyClassifier(strategy='stratified'),0.504,0.494,0.002,0.5003668378576669,0.4885386819484241,0.4943820224719101
